frame,t,cx,cy,cx_smooth,cy_smooth,speed_px_s,ax_px_s2,ay_px_s2
185,3.0866618252239166,365.3766098022461,526.226806640625,403.10134891650523,530.5774726269779,536.6505865676344,3727.1533647423694,230.6787856674091
186,3.1033464837386404,361.34056091308594,525.4835357666016,394.7491913158214,529.5586852549027,470.584374046477,3867.031785600466,202.41762407088117
187,3.120031142253364,358.6355209350586,524.6408233642578,387.52645723966884,528.5751128767738,407.79968648709513,3621.326133426306,299.3289510591428
188,3.1367158007680884,356.25333404541016,524.0876770019531,381.2718326008171,527.6776257018097,349.4992976053057,3515.34322117637,460.5139700509412
189,3.153400459282812,354.83243560791016,523.8197937011719,375.98395320223574,526.9060593016821,289.49871892767214,3641.837241658388,491.39288802038834
190,3.170085117797536,354.6084289550781,523.9225311279297,371.70884835280424,526.3093536669317,226.8809107547763,3773.246882836489,395.47402013055876
191,3.18676977631226,355.64798736572266,523.6834716796875,368.49667615538795,525.7841772694828,163.0580424043275,3709.5539467169365,496.50646496489253
192,3.203454434826984,357.75038146972656,523.7705230712891,366.3474172182557,525.3814464298441,102.02590530669622,3566.5243277112713,712.1811979262299
193,3.220139093341708,360.3104782104492,524.5500183105469,365.1400294166944,525.2151608059846,41.85266700506823,3758.713529316174,565.9299572695822
194,3.236823751856432,364.2266387939453,525.3721618652344,364.9573512921446,525.2465610178347,24.902414065386694,3892.8102352961605,215.23822382997332
195,3.253508410371156,370.0143585205078,525.3953247070312,365.9687527378172,525.276313755674,88.29926401111867,3735.7028185778117,302.4734137833209
196,3.270193068885879,375.6348571777344,525.6514739990234,367.9019736258007,525.351345804344,149.96768959828356,3983.9048044969286,509.87292982199017
197,3.286877727400603,383.17822265625,526.9659881591797,370.95722343189055,525.6742742753112,222.09992367486038,4145.434572487941,480.4847686957575
198,3.303562385915327,392.58470153808594,527.4223022460938,375.28271905312965,526.0238798694677,289.17787372773194,3839.783893348089,500.62475851873955
